Major,Courses,
"Chemistry/Materials Science BS","Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, Mathematics 31A, 31B, 32A, 32B, 33B, Physics 1A, 1B, 1C, 4BL.Required: Chemistry and Biochemistry 110A, 113A, 171, 172 or C180 or C181, 185, 4 units from 110B, C113B, 172, C174, C175, C176, C180, C181; Materials Science and Engineering 104, 110, 110L, 120, 121 or 150 or 160, 131, 8 units from 111, 121, 122, 132, 150, 160, 162, CM180; 7 laboratory units from Chemistry and Biochemistry 114, 184, Materials Science and Engineering 121L, 131L, 161L.Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL, 30C, 30CL, Mathematics 31A, 31B, 32A, 32B, 33B, Physics 1A, 1B, 1C, 4BL.Required: Chemistry and Biochemistry 110A, 113A, 136, 171, 185, 4 units from 110B, C113B, C143A, 144, 172, C174, C175, C176, C180, C181; Materials Science and Engineering 104, 110, 110L, 120, 150, 4 units from 111, 121, 122, 131, 132, 160, 162, CM180; 7 laboratory units from Chemistry and Biochemistry 114, 184, Materials Science and Engineering 121L, 131L, 161L.",
"General Chemistry BS","Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL, 30C, 30CL; Mathematics 31A, 31B, 32A, 33B; Physics 1A, 1B, and 1C (or 1AH, 1BH, and 1CH), 4BL.Required: Chemistry and Biochemistry 110A, 153A, 153L, 171; three additional upper-division courses in the department (at least one must be a laboratory course); six additional upper-division courses. A 2.0 grade-point average is required in all upper-division courses in the department. Acceptance into the major is based on an original written proposal that is coherent in terms of student interests and objectives. The proposal should specify which courses students plan to apply toward the major and requires the approval of the faculty adviser.",
"Bioengineering BS","Required: Bioengineering 10; Chemistry and Biochemistry 20A, 20B, 20L, 30A, 30AL, 30B; Civil and Environmental Engineering M20 or Computer Science 31 or Mechanical and Aerospace Engineering M20; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL.",
"Biology BS","Required: Chemistry and Biochemistry 14A, 14B, 14BL, 14C, and 14D, or 20A, 20B, 20L, 30A, 30AL, and 30B; Life Sciences 30A, 30B, and 40 or Statistics 13, or Mathematics 3A, 3B, 3C, and Life Sciences 40 or Statistics 13, or Mathematics 31A, 31B, 32A, and Life Sciences 40 or Statistics 13; Physics 1A, 1B, 1C, 4AL, and 4BL, or 5A, 5B, and 5C.",
"Biophysics BS","Required: Physics 1A or 1AH, 1B or 1BH, 1C or 1CH, 4AL, 4BL, 17; Chemistry and Biochemistry 20A, 20B, 30A, 30B; Life Sciences 7A, 7B, 7C; Mathematics 31A, 31B, 32A, 32B, 33A, 33B. Recommended: Physics 18L.Required: Physics 105A, 110A, 110B, 112, 115A, 115B, 131, M180G, C187A, C187B; either course 144 or C186; Chemistry and Biochemistry 153A, 153L; Molecular, Cell, and Developmental Biology 100 or M140 or 165A. Recommended: Life Sciences 107, Physics 108, 117, Chemistry and Biochemistry CM160A, and guided research in chemistry and biochemistry, molecular, cell, and developmental biology, or physics. An overall 2.0 grade-point average in all upper-division courses is required.",
"Business Economics BA","Required: Economics 1, 2, 11, 41, 101; one Writing II course; Management 1A, 1B; Mathematics 31A, and 31B or 31E. Each course must be taken for a letter grade.Required: Economics 102, 103, 103L, and at least two courses from the 106 series; English Composition 131B; five upper-division elective courses in economics and management (no more than three management courses from Management 108, 120A, 120B, 122, 123, 124, 126, 127A, 127B, 130A, 130B, 140 may be applied toward the elective requirement). In addition to Economics 103 and 103L, at least two economics courses with laboratories must be completed and may be selected from either the Economics 106 series or an economics elective.",
"Central and East European Languages and Cultures BA","Required: Central and East European Studies 91 or Slavic 90.Required: (1) One three-quarter (12 to 15 units) introductory central and east European language sequence to be selected from Czech 101A, 101B, 101C, Hungarian 101A, 101B, 101C, Polish 101A, 101B, 101C, Romanian 101A, 101B, 101C, Serbian/Croatian 101A, 101B, 101C, or Ukrainian 101A, 101B, 101C; (2) one three-quarter (12 to 15 units) language sequence to be selected from Czech 102A, 102B, 102C, Hungarian 102A, 102B, 102C, Polish 102A, 102B, 102C, Romanian 102A, 102B, 102C, Serbian/Croatian 102A, 102B, 102C, or Ukrainian 102A, 102B, 102C, or any three courses from Russian 100A, 100B, 100C, 101A, 101B, 101C, 102A, 102B, 102C, 103A, 103B, 103C, 130A, 140A; (3) one three-quarter (12 to 15 units) introductory language sequence of a second Slavic or central European language, or equivalent proficiency as determined through departmental testing, to be selected from Czech 101A, 101B, 101C, Hungarian 101A, 101B, 101C, Polish 101A, 101B, 101C, Romanian 101A, 101B, 101C, Serbian/Croatian 101A, 101B, 101C, or Ukrainian 101A, 101B, 101C; (4) three courses (12 units) from the following list (187 courses are 2 units each; no more than 8 units may be from the 187 series): Central and East European Studies 125, 126, Czech 155, 187A through 187M, History 120A through 120D, Hungarian 187A through 187M, Polish 152A, 152B, 152C, 187A through 187M, Romanian 152, 187A through 187M, Russian C124G, Serbian/Croatian 187A through 187M, Ukrainian 152, 187A through 187M; one of the three courses may be selected from Russian M118, 119, 120, C124C, C124D, C124N, C124T.",
"Chemical Engineering BS","Required: Chemical Engineering 10; Chemistry and Biochemistry 20A, 20B, 20L, 30A, 30AL, 30B; Civil and Environmental Engineering M20 or Mechanical and Aerospace Engineering M20; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL.Required: Chemical Engineering 45, 100, 101A, 101B, 101C, 102A, 102B, 103, 104A, 104B, 106, 107, 109; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; two capstone analysis and design courses (Chemical Engineering 108A, 108B); and two elective courses (8 units) from Chemical Engineering 110, C111, C112, 113, CM114, C115, C116, C118, C119, C121, C125, C128, C135, C140.Required: Chemical Engineering 10; Chemistry and Biochemistry 20A, 20B, 20L, 30A, 30AL, 30B; Civil and Environmental Engineering M20 or Mechanical and Aerospace Engineering M20; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL.Required: Chemical Engineering 45, 100, 101A, 101B, 101C, 102A, 102B, 103, 104A, 104B, 106, 107, 109, CM145; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; two capstone analysis and design courses (Chemical Engineering 108A, 108B); and one biomedical elective course (4 units) from Bioengineering C105, C183, Chemical Engineering C112, Chemistry and Biochemistry C105, 153A, or C159 (another chemical engineering elective may be substituted for one of these with approval of the faculty adviser).Required: Chemical Engineering 10; Chemistry and Biochemistry 20A, 20B, 20L, 30A, 30AL, 30B; Civil and Environmental Engineering M20 or Mechanical and Aerospace Engineering M20; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL.Required: Chemical Engineering 45, 100, 101A, 101B, 101C, 102A, 102B, 104A, 104D, 107, 109, C115, C125, CM145; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; two capstone analysis and design courses (Chemical Engineering 108A, 108B); and one biomolecular elective course (4 units) from Bioengineering C105, C183, Chemical Engineering C112, Chemistry and Biochemistry C105, 153A, or C159 (another chemical engineering elective may be substituted with approval of the faculty adviser).Required: Chemical Engineering 10; Chemistry and Biochemistry 20A, 20B, 20L, 30A, 30AL, 30B; Civil and Environmental Engineering M20 or Mechanical and Aerospace Engineering M20; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL.Required: Chemical Engineering 45, 100, 101A, 101B, 101C, 102A, 102B, 103, 104A, 104B, 106, 107, 109; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; two capstone analysis and design courses (Chemical Engineering 108A, 108B); and two elective courses (8 units) from Chemical Engineering 113, C118, C119, C121, C128, C135, C140 (another chemical engineering elective may be substituted with approval of the faculty adviser).Required: Chemical Engineering 10; Chemistry and Biochemistry 20A, 20B, 20L, 30A, 30AL, 30B; Civil and Environmental Engineering M20 or Mechanical and Aerospace Engineering M20; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL.Required: Chemical Engineering 45, 100, 101A, 101B, 101C, 102A, 102B, 103, 104A, 104C, 104CL, 106, 107, 109, C116; three technical breadth courses (12 units) selected from an approved list available in the Office of Academic and Student Affairs; two capstone analysis and design courses (Chemical Engineering 108A, 108B); and one elective course (4 units) from chemical engineering or from Materials Science and Engineering 104, 120, 121, 122, or 150.",
"Biochemistry BS","Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL, 30C; Mathematics 31A, 31B, 32A (33A strongly recommended); Physics 1A, 1B, and 1C (or 1AH, 1BH, and 1CH) and 4BL, or 5A, 5B, and 5C.Required: Chemistry and Biochemistry 110A, 153A, 153B, 153C, 153L, 154, 156; one additional upper-division or graduate course in chemistry and biochemistry; and three elective upper-division or graduate courses (12 units) approved by the undergraduate adviser (Microbiology, Immunology, and Molecular Genetics 101 highly recommended). Refer to the Undergraduate Advising Office website for a list of approved electives.",
"Chemistry BS","Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL, 30C, 30CL; Mathematics 31A, 31B, 32A, 32B, 33B; Physics 1A, 1B, and 1C (or 1AH, 1BH, and 1CH), 4BL.Required: Chemistry and Biochemistry 110A, either 110B or C113B, 113A, 114 (or 114H), either 136 or 144, 153A, 153L, 171, 172, and two other upper-division or graduate courses in the department, including at least one additional laboratory course from 136, 144, 154, C174, 184, 185.Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, and 1C (or 1AH, 1BH, and 1CH), 4BL.Required: Chemistry and Biochemistry 110A, 110B, 113A, C113B, 114 (or 114H), 153A, 171, 172; one additional upper-division chemistry, electrical engineering, or physics laboratory course; and three elective upper-division or graduate courses approved by the physical chemistry adviser. Refer to the Undergraduate Advising Office website for a list of approved electives.",
"Chemistry/Materials Science BS","Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, Mathematics 31A, 31B, 32A, 32B, 33B, Physics 1A, 1B, 1C, 4BL.Required: Chemistry and Biochemistry 110A, 113A, 171, 172 or C180 or C181, 185, 4 units from 110B, C113B, 172, C174, C175, C176, C180, C181; Materials Science and Engineering 104, 110, 110L, 120, 121 or 150 or 160, 131, 8 units from 111, 121, 122, 132, 150, 160, 162, CM180; 7 laboratory units from Chemistry and Biochemistry 114, 184, Materials Science and Engineering 121L, 131L, 161L.Required: Chemistry and Biochemistry 20A (or 20AH), 20B (or 20BH), 20L, 30A, 30AL, 30B, 30BL, 30C, 30CL, Mathematics 31A, 31B, 32A, 32B, 33B, Physics 1A, 1B, 1C, 4BL.Required: Chemistry and Biochemistry 110A, 113A, 136, 171, 185, 4 units from 110B, C113B, C143A, 144, 172, C174, C175, C176, C180, C181; Materials Science and Engineering 104, 110, 110L, 120, 150, 4 units from 111, 121, 122, 131, 132, 160, 162, CM180; 7 laboratory units from Chemistry and Biochemistry 114, 184, Materials Science and Engineering 121L, 131L, 161L.",
